,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
726,8.7,8.9,7.7,9.2,8.8,9.6,7.9,12.0,가솔린,2022,경차,기아,133~139g/km
727,8.7,8.9,8.7,8.7,8.5,9.0,8.2,11.3,가솔린,2018,경차,현대,141~148g/km
729,9.0,9.6,8.9,9.6,9.3,9.5,7.4,5.1,전기,2024,대형/프리미엄,기아,
730,9.0,9.5,8.6,8.3,9.2,9.4,8.6,14.3,디젤,2021,경차,BMW,133g/km
731,9.1,9.8,8.4,8.6,9.4,9.8,8.9,10.7,디젤,2015,경차,BMW,0~162g/km
732,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.3,가솔린,2023,경차,BMW,237g/km
735,8.6,9.0,8.1,8.8,8.4,9.7,7.8,13.2,가솔린,2023,경차,기아,122~127g/km
736,8.2,9.8,8.1,8.8,8.7,9.8,4.3,7.7,가솔린,2023,경차,BMW,224g/km
738,8.6,9.3,8.3,9.1,8.7,8.6,7.5,13.7,디젤,2022,경차,현대,135~139g/km
740,8.6,8.9,8.4,8.8,8.5,9.0,7.9,14.4,디젤,2015,경차,현대,137g/km
741,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2021,경차,렉서스,186g/km
742,8.1,8.3,8.6,8.0,8.0,8.3,7.5,12.5,가솔린,2015,경차,기아,139g/km
743,8.2,8.7,8.5,7.9,8.8,7.9,7.3,10.6,가솔린,2016,경차,르노코리아,166g/km
744,8.0,8.2,7.7,6.9,7.4,8.4,9.6,18.5,디젤,2015,경차,르노코리아,103g/km
745,8.7,9.2,8.4,8.2,8.9,9.4,8.1,16.2,디젤,2016,경차,메르세데스-벤츠,
748,8.7,9.0,8.0,9.0,8.8,9.1,8.6,10.9,가솔린,2018,경차,현대,149~155g/km
749,9.1,9.7,8.9,8.1,9.4,9.6,8.9,14.3,디젤,2021,경차,BMW,132g/km
750,9.1,9.5,8.5,9.4,9.2,8.7,9.3,14.3,가솔린,2021,경차,현대,106~114g/km
751,8.9,9.4,7.5,9.1,9.2,9.8,8.6,14.1,디젤,2024,경차,메르세데스-벤츠,134g/km
752,8.6,9.3,7.8,9.2,9.0,9.7,6.7,9.7,가솔린,2020,경차,제네시스,175g/km
753,9.1,9.6,8.6,8.6,9.5,9.8,8.6,7.1,가솔린,2015,경차,메르세데스-벤츠,256g/km
754,9.3,9.9,9.2,9.2,9.8,9.9,7.6,7.7,가솔린,2024,경차,BMW,224g/km
755,8.7,9.9,9.1,9.0,9.6,8.3,6.3,7.6,가솔린,2021,경차,BMW,224~225g/km
756,9.0,9.9,8.8,8.7,7.9,9.4,9.3,5.7,전기,2022,대형/프리미엄,테슬라,
757,8.4,8.5,8.8,8.3,8.3,8.4,8.1,14.0,가솔린,2014,경차,현대,122~123g/km
759,8.7,9.3,8.1,9.2,8.4,9.5,7.9,13.7,디젤,2023,경차,기아,134~139g/km
761,8.9,9.4,8.4,8.4,9.2,9.8,8.1,9.5,가솔린,2019,경차,BMW,181g/km
762,9.5,9.7,8.5,9.7,9.8,9.8,9.3,10.0,전기,2024,경차,BMW,42g/km
763,9.1,9.4,8.2,9.7,9.3,8.9,9.2,15.5,가솔린,2024,경차,현대,104g/km
764,9.3,9.9,9.2,9.2,9.8,9.9,7.6,9.5,가솔린,2021,경차,BMW,181g/km
768,7.7,8.4,7.9,7.8,7.8,8.2,6.3,9.7,디젤,2020,경차,현대,177~203g/km
773,9.0,9.5,8.8,8.7,8.8,9.1,9.2,17.3,디젤,2015,경차,현대,108~111g/km
775,9.3,9.4,8.9,9.4,9.2,9.3,9.4,16.2,가솔린,2019,경차,현대,97g/km
777,9.1,9.6,8.5,9.0,9.4,9.6,8.6,9.8,가솔린,2022,경차,BMW,173g/km
779,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2018,경차,렉서스,186g/km
781,9.2,9.8,8.2,9.2,9.6,9.7,8.5,10.0,디젤,2019,경차,BMW,195g/km
782,9.5,9.6,8.9,9.6,9.7,9.6,9.8,17.2,가솔린,2021,경차,렉서스,93g/km
783,8.8,8.9,8.9,8.5,8.5,9.1,9.0,14.4,가솔린,2019,경차,기아,108~114g/km
786,8.9,9.4,8.7,9.6,9.2,9.5,7.1,12.0,디젤,2022,경차,현대,154~159g/km
787,8.4,8.6,9.1,8.7,8.4,8.4,7.1,10.2,가솔린,2015,경차,르노코리아,174g/km
788,8.7,9.2,8.4,9.2,8.6,9.3,7.6,12.6,디젤,2021,경차,기아,153g/km
789,8.6,8.0,8.0,9.2,8.8,9.4,8.0,12.7,가솔린,2023,경차,기아,127~131g/km
790,9.1,9.9,7.4,9.3,9.7,9.8,8.7,4.6,전기,2023,대형/프리미엄,제네시스,
791,8.9,9.3,9.2,9.4,9.1,9.0,7.5,12.0,디젤,2019,경차,현대,155~160g/km
792,8.6,9.0,8.8,8.4,8.5,9.0,7.9,13.8,디젤,2015,경차,기아,136~143g/km
793,8.9,9.5,9.2,7.2,9.4,9.6,8.6,10.7,가솔린,2021,경차,BMW,159g/km
796,8.9,9.2,8.8,9.4,9.1,9.0,7.7,11.3,디젤,2017,경차,현대,154~171g/km
797,8.9,9.4,8.4,8.4,9.2,9.8,8.1,9.5,가솔린,2021,경차,BMW,181g/km
801,8.8,9.6,8.2,8.5,9.7,9.0,7.6,7.8,가솔린,2014,경차,메르세데스-벤츠,230g/km
803,8.6,9.0,8.3,8.9,8.6,7.7,9.1,18.0,가솔린,2017,경차,현대,88g/km
805,8.7,9.9,8.0,8.8,9.4,9.4,7.0,8.3,가솔린,2023,경차,BMW,206g/km
807,9.1,9.7,8.9,8.1,9.4,9.6,8.9,14.3,디젤,2020,경차,BMW,
809,8.6,8.9,8.7,8.6,8.4,8.4,8.5,12.4,디젤,2016,경차,기아,130~161g/km
812,9.3,9.4,8.9,9.5,9.1,9.4,9.4,16.2,가솔린,2021,경차,기아,97g/km
814,9.2,9.7,8.9,8.3,9.3,9.6,9.2,15.1,디젤,2016,경차,BMW,117g/km
815,8.8,9.4,8.1,9.3,9.0,9.7,7.2,14.6,디젤,2020,경차,제네시스,130g/km
816,8.8,8.9,8.7,8.6,8.9,7.9,9.7,17.1,가솔린,2022,경차,기아,79~92g/km
824,7.5,8.3,7.6,7.3,7.6,7.5,6.6,8.9,디젤,2019,경차,현대,202~220g/km
825,8.7,8.8,8.7,8.8,8.6,8.5,8.6,16.8,가솔린,2014,경차,현대,100g/km
826,8.4,9.5,8.5,8.3,8.2,9.8,5.8,9.6,가솔린,2018,경차,기아,161~175g/km
828,9.3,9.8,8.8,9.3,9.5,9.4,9.1,11.6,디젤,2018,경차,BMW,163g/km
829,8.2,7.7,7.8,9.0,8.2,9.1,7.2,12.7,가솔린,2018,경차,기아,127~130g/km
835,9.2,9.4,8.5,9.5,9.5,9.2,8.9,8.9,가솔린,2018,경차,렉서스,193g/km
836,9.3,9.9,9.2,9.2,9.8,9.9,7.6,7.6,가솔린,2024,경차,BMW,226g/km
837,8.6,9.3,7.8,9.2,9.0,9.7,6.7,9.7,가솔린,2023,경차,제네시스,175g/km
838,9.1,9.1,8.5,9.1,9.7,9.4,8.8,12.8,가솔린,2020,경차,렉서스,129g/km
842,8.5,9.9,8.1,8.4,9.0,9.4,6.0,6.7,가솔린,2023,경차,BMW,258g/km
845,8.8,9.4,8.5,7.5,9.0,9.7,8.4,11.1,가솔린,2019,경차,BMW,156g/km
847,8.9,9.6,7.8,9.8,9.7,9.8,6.9,8.2,가솔린,2024,경차,제네시스,209g/km
848,9.1,9.5,8.5,9.4,9.2,8.7,9.3,14.3,가솔린,2022,경차,현대,106~114g/km
849,9.4,9.8,8.2,9.6,9.7,9.5,9.8,4.3,전기,2024,대형/프리미엄,메르세데스-벤츠,
852,9.2,9.9,7.7,8.7,9.7,9.8,9.4,4.3,전기,2023,대형/프리미엄,제네시스,
853,8.9,9.1,8.8,8.9,8.6,9.6,8.7,14.9,가솔린,2022,경차,현대,106~110g/km
854,8.9,9.7,7.9,8.2,9.3,9.9,8.6,8.2,가솔린,2015,경차,BMW,219g/km
858,9.1,9.8,8.5,8.6,9.4,9.7,8.7,11.0,가솔린,2022,경차,BMW,154g/km
860,8.7,9.9,9.1,9.0,9.6,8.3,6.3,7.6,가솔린,2023,경차,BMW,225g/km
863,8.0,8.0,8.4,7.9,7.9,7.8,7.7,15.0,가솔린,2014,경차,르노코리아,114g/km
866,9.1,9.7,8.6,8.8,9.1,9.1,9.3,5.6,전기,2021,대형/프리미엄,기아,
868,9.1,9.8,8.5,8.6,9.4,9.7,8.7,11.7,가솔린,2022,경차,BMW,143g/km
869,9.5,9.7,9.0,9.3,9.5,9.7,9.5,12.1,가솔린,2024,경차,BMW,137g/km
871,8.2,7.7,7.8,9.0,8.2,9.1,7.2,12.7,가솔린,2020,경차,기아,127~131g/km
875,7.3,8.1,7.6,7.2,7.3,7.6,6.1,6.5,LPG,2024,경차,기아,188~204g/km
878,7.7,8.4,7.9,7.8,7.8,8.2,6.3,8.9,디젤,2018,경차,현대,222g/km
880,8.7,9.9,8.9,8.6,9.8,9.9,5.4,7.8,가솔린,2022,경차,BMW,222g/km
884,8.2,8.9,7.6,8.7,8.2,8.8,6.9,7.0,LPG,2024,경차,현대,189g/km
886,9.2,9.7,8.9,8.3,9.3,9.6,9.2,12.6,디젤,2018,경차,BMW,138~152g/km
888,8.0,8.2,9.0,8.1,8.0,7.9,6.9,12.6,가솔린,2015,경차,르노코리아,138g/km
889,8.0,8.7,8.4,6.7,7.8,9.2,7.0,12.4,가솔린,2014,경차,현대,127~140g/km
890,8.8,8.9,9.1,8.1,8.3,9.5,8.6,13.4,가솔린,2024,경차,르노코리아,121~123g/km
892,8.8,9.1,8.4,8.8,8.7,9.6,8.3,11.8,가솔린,2022,경차,기아,132~143g/km
893,8.3,8.3,8.7,8.4,8.5,9.1,7.0,11.5,가솔린,2014,경차,기아,0.0~152g/km
896,8.9,9.4,7.7,9.2,8.8,9.5,9.1,16.2,가솔린,2021,경차,현대,99g/km
897,9.1,9.6,8.5,9.0,9.4,9.6,8.6,9.5,가솔린,2021,경차,BMW,181g/km
898,8.0,8.2,7.7,6.9,7.4,8.4,9.6,17.7,디젤,2016,경차,르노코리아,108g/km
901,8.0,7.6,8.0,8.9,8.0,8.8,6.6,13.5,가솔린,2014,경차,기아,117~126g/km
903,8.5,9.4,9.0,6.2,8.8,9.6,8.2,9.5,가솔린,2016,경차,메르세데스-벤츠,178g/km
904,9.3,9.8,9.1,9.6,9.6,9.7,8.2,9.5,디젤,2020,경차,BMW,206g/km
905,8.4,8.3,8.4,8.2,8.3,8.7,8.3,14.7,가솔린,2019,경차,기아,101~111g/km
907,9.3,9.6,8.6,9.6,9.3,9.4,9.5,17.1,가솔린,2023,경차,기아,88~94g/km
909,9.3,9.9,9.2,9.2,9.8,9.9,7.6,7.7,가솔린,2023,경차,BMW,224g/km
913,8.6,9.1,8.1,8.9,8.8,9.5,7.3,11.8,가솔린,2024,경차,기아,130~142g/km
915,8.5,8.5,9.1,8.7,8.6,8.0,8.2,9.0,LPG,2015,경차,기아,140~149g/km
917,9.4,9.9,9.1,9.3,9.8,9.8,9.7,4.9,전기,2023,대형/프리미엄,메르세데스-벤츠,
918,8.4,9.8,8.9,7.9,9.1,9.6,5.4,12.0,가솔린,2014,경차,BMW,194g/km
922,8.2,9.7,6.8,8.3,10.0,9.7,4.5,7.9,가솔린,2018,경차,렉서스,222g/km
925,9.1,9.8,8.4,8.6,9.4,9.8,8.9,10.5,디젤,2017,경차,BMW,185g/km
926,9.1,9.6,8.6,8.6,9.5,9.8,8.6,7.2,가솔린,2014,경차,메르세데스-벤츠,250g/km
927,9.2,9.4,8.7,9.5,9.3,9.0,9.3,15.2,가솔린,2020,경차,현대,97~108g/km
930,8.3,8.4,8.9,8.0,8.2,8.8,7.8,13.3,가솔린,2014,경차,기아,117~129g/km
932,9.0,8.9,8.8,8.4,8.9,8.9,9.8,22.4,가솔린,2019,경차,현대,69g/km
933,9.2,9.5,9.1,9.3,9.0,9.7,8.6,14.2,디젤,2021,경차,메르세데스-벤츠,133g/km
934,8.7,9.6,8.0,8.3,9.2,9.9,6.9,7.6,가솔린,2015,경차,메르세데스-벤츠,236g/km
936,9.2,10.0,7.7,10.0,10.0,10.0,7.3,7.7,가솔린,2018,경차,렉서스,226g/km
937,9.2,9.8,7.8,9.5,9.5,9.5,9.3,5.1,전기,2023,대형/프리미엄,제네시스,
939,9.1,9.8,8.5,8.6,9.4,9.7,8.7,11.7,가솔린,2021,경차,BMW,143g/km
942,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2018,경차,렉서스,186g/km
943,9.1,9.3,9.0,9.0,9.1,9.6,8.9,12.1,가솔린,2023,경차,기아,139g/km
944,9.2,9.5,9.1,9.3,9.0,9.7,8.6,9.0,가솔린,2023,경차,메르세데스-벤츠,191g/km
945,8.7,9.6,7.7,8.0,8.7,9.9,8.1,10.8,가솔린,2022,경차,메르세데스-벤츠,158g/km
946,9.0,9.2,8.0,9.4,8.8,9.6,9.0,14.3,가솔린,2022,경차,기아,106~115g/km
948,9.3,9.9,9.2,9.2,9.8,9.9,7.6,9.4,가솔린,2021,경차,BMW,183g/km
949,9.5,9.6,8.9,9.6,9.7,9.6,9.8,16.8,가솔린,2024,경차,렉서스,91~94g/km
954,8.9,9.5,9.3,9.5,9.2,9.1,6.7,8.7,가솔린,2018,경차,기아,199g/km
955,8.8,9.6,8.2,8.5,9.7,9.0,7.6,9.3,가솔린,2016,경차,메르세데스-벤츠,189g/km
958,8.8,9.4,8.5,7.5,9.0,9.7,8.4,20.8,디젤,2014,경차,BMW,
961,7.4,7.7,8.2,7.2,7.4,6.8,7.3,12.4,가솔린,2015,경차,현대,135~140g/km
963,9.0,9.5,8.6,8.3,9.2,9.4,8.6,11.0,가솔린,2024,경차,BMW,154g/km
968,9.3,9.4,8.9,9.4,9.2,9.3,9.4,16.2,가솔린,2018,경차,현대,97g/km
969,8.8,9.0,8.8,8.2,8.8,8.6,9.8,22.4,가솔린,2016,경차,현대,69g/km
971,9.0,9.9,9.5,9.2,8.4,9.8,7.5,10.4,가솔린,2023,경차,현대,159~163g/km
972,9.1,9.8,8.5,8.6,9.4,9.7,8.7,14.3,디젤,2020,경차,BMW,132g/km
973,8.8,9.6,8.2,8.5,9.7,9.0,7.6,9.7,가솔린,2015,경차,메르세데스-벤츠,183g/km
975,8.6,9.2,8.5,7.8,8.7,9.7,8.1,9.9,가솔린,2017,경차,메르세데스-벤츠,176g/km
976,8.4,10.0,8.4,7.1,8.8,9.4,6.5,8.5,가솔린,2023,경차,BMW,203g/km
979,8.7,9.0,8.0,9.0,8.8,9.1,8.6,10.4,가솔린,2017,경차,현대,158~163g/km
983,8.1,8.3,8.6,8.0,8.0,8.3,7.5,14.0,가솔린,2014,경차,기아,118~122g/km
986,9.2,9.7,8.9,8.3,9.3,9.6,9.2,12.8,디젤,2018,경차,BMW,149g/km
987,9.2,9.8,8.2,9.2,9.6,9.7,8.5,10.7,디젤,2022,경차,BMW,181g/km
988,8.5,8.7,9.0,8.0,8.2,8.2,8.8,13.1,가솔린,2018,경차,현대,125g/km
990,8.8,9.5,9.2,8.9,9.0,9.2,7.2,12.4,가솔린,2019,경차,기아,134~137g/km
991,8.7,10.0,8.9,8.1,9.6,9.9,5.5,6.8,가솔린,2021,경차,BMW,256g/km
993,9.1,9.6,8.8,8.9,9.2,9.2,9.0,14.5,디젤,2014,경차,BMW,135g/km
994,8.5,9.3,8.2,8.7,9.0,9.2,6.6,10.3,디젤,2016,경차,기아,189~197g/km
995,7.5,8.3,7.6,7.3,7.6,7.5,6.6,9.0,디젤,2021,경차,현대,195~216g/km
996,8.8,9.0,8.8,8.2,8.8,8.6,9.8,22.4,가솔린,2017,경차,현대,69g/km
998,9.1,9.8,8.4,9.1,9.2,9.5,8.7,10.5,디젤,2018,경차,BMW,185g/km
1000,8.4,9.6,8.0,8.1,9.1,9.0,6.9,8.3,가솔린,2024,경차,BMW,208g/km
1002,9.3,9.7,9.0,8.8,9.7,9.8,8.8,11.4,가솔린,2022,경차,BMW,149g/km
1003,8.6,9.3,8.2,8.9,9.1,9.5,6.7,9.3,디젤,2020,경차,기아,209~211g/km
1004,8.1,8.0,8.5,7.9,8.0,8.3,7.8,15.2,가솔린,2014,경차,기아,98~112g/km
1005,8.9,9.4,7.0,9.3,9.0,9.5,9.1,16.7,가솔린,2023,경차,기아,96g/km
1006,9.1,9.8,7.7,9.4,9.4,9.6,8.7,5.5,전기,2024,대형/프리미엄,현대,
1007,9.2,9.6,9.5,8.5,10.0,9.5,7.9,10.1,가솔린,2016,경차,렉서스,170g/km
1008,8.9,9.4,7.7,9.2,8.8,9.5,9.1,15.8,가솔린,2023,경차,현대,99~102g/km
1011,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2020,경차,렉서스,170g/km
1015,8.3,8.5,8.5,8.3,8.2,8.9,7.6,11.9,가솔린,2014,경차,기아,142~147g/km
1017,8.8,8.9,9.1,8.4,8.6,9.1,8.7,13.1,가솔린,2016,경차,현대,121~126g/km
1018,8.0,8.5,8.2,8.2,8.0,8.2,6.9,6.3,LPG,2017,경차,현대,218g/km
1021,8.7,9.4,7.9,8.8,8.6,8.7,8.6,5.3,전기,2024,대형/프리미엄,기아,
1022,8.4,8.2,8.9,8.2,8.0,9.2,7.8,12.5,디젤,2016,경차,르노코리아,148~153g/km
1023,8.7,9.2,7.8,8.2,8.9,8.5,9.5,17.4,가솔린,2022,경차,현대,82~92g/km
1025,8.7,9.1,8.7,9.3,8.8,8.8,7.3,11.1,가솔린,2022,경차,현대,142~153g/km
1026,8.3,9.0,9.0,8.6,8.5,8.4,6.4,5.0,전기,2015,대형/프리미엄,기아,
1030,8.6,9.2,8.5,7.8,8.7,9.7,8.1,9.9,가솔린,2018,경차,메르세데스-벤츠,176g/km
1031,8.9,9.3,8.4,8.9,8.8,9.6,8.4,12.9,가솔린,2021,경차,르노코리아,121~128g/km
1033,8.2,9.5,8.1,7.3,8.9,9.6,5.9,10.4,가솔린,2019,경차,제네시스,156~161g/km
1037,8.8,9.5,8.6,9.4,9.3,9.4,6.7,7.2,가솔린,2016,경차,제네시스,239g/km
1039,9.3,9.9,9.2,9.2,9.8,9.9,7.6,7.6,가솔린,2023,경차,BMW,226g/km
1041,9.1,9.7,8.9,8.1,9.4,9.6,8.9,11.2,가솔린,2023,경차,BMW,151g/km
1042,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.3,디젤,2015,경차,기아,197g/km
1046,8.7,9.9,8.9,8.6,9.8,9.9,5.4,,가솔린,2016,경차,BMW,199g/km
1047,8.5,8.8,8.8,9.0,8.7,8.1,7.9,11.6,가솔린,2018,경차,현대,136~143g/km
1048,8.6,9.3,8.2,8.9,9.1,9.5,6.7,9.3,디젤,2021,경차,기아,210~212g/km
1051,8.4,8.8,8.3,9.0,8.5,9.0,7.1,11.3,디젤,2019,경차,기아,171g/km
1052,8.5,8.7,9.0,8.0,8.2,8.2,8.8,14.1,가솔린,2014,경차,현대,122g/km
1053,9.2,9.6,8.5,9.7,9.4,9.3,8.6,8.2,가솔린,2024,경차,제네시스,209g/km
1055,9.4,9.9,9.1,9.3,9.8,9.8,9.7,4.0,전기,2022,대형/프리미엄,메르세데스-벤츠,
1056,8.6,8.0,8.0,9.2,8.8,9.4,8.0,12.7,가솔린,2024,경차,기아,127~131g/km
1057,8.9,9.4,7.5,9.1,9.2,9.8,8.6,8.0,가솔린,2024,경차,메르세데스-벤츠,216g/km
1058,9.0,9.7,8.0,9.5,9.0,9.4,8.8,5.1,전기,2023,대형/프리미엄,현대,
1059,8.7,9.2,8.4,8.2,8.9,9.4,8.1,9.4,가솔린,2018,경차,메르세데스-벤츠,
1060,8.3,8.2,7.8,8.3,8.4,8.9,8.1,15.7,가솔린,2021,경차,기아,104g/km
1062,9.1,9.8,8.4,9.1,9.2,9.5,8.7,12.3,디젤,2014,경차,BMW,162g/km
1064,8.7,9.3,7.8,8.6,8.9,9.6,8.2,12.9,디젤,2016,경차,메르세데스-벤츠,148g/km
1065,8.7,9.2,8.4,9.2,8.6,9.3,7.6,11.0,디젤,2022,경차,기아,176g/km
1069,8.7,9.9,8.0,8.8,9.4,9.4,7.0,8.3,가솔린,2023,경차,BMW,206g/km
1070,9.0,9.6,8.7,8.6,8.4,9.7,8.8,10.4,가솔린,2021,경차,현대,158~164g/km
1071,8.5,9.4,9.0,6.2,8.8,9.6,8.2,12.9,디젤,2016,경차,메르세데스-벤츠,148g/km
1072,9.5,9.9,9.2,9.5,9.7,9.8,8.7,4.1,전기,2024,대형/프리미엄,BMW,
1073,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2021,경차,렉서스,186g/km
1075,8.9,9.6,8.2,9.5,8.8,9.4,7.7,9.8,디젤,2020,경차,메르세데스-벤츠,199g/km
1076,8.8,9.9,7.9,9.6,7.4,9.1,9.2,5.1,전기,2024,대형/프리미엄,테슬라,
1077,8.9,9.5,9.2,7.2,9.4,9.6,8.6,10.7,가솔린,2024,경차,BMW,159g/km
1078,8.4,8.8,8.5,8.9,8.4,8.9,7.2,11.2,디젤,2017,경차,기아,179g/km
1080,8.4,9.5,8.5,8.3,8.2,9.8,5.8,10.4,가솔린,2020,경차,기아,161g/km
1081,9.2,9.8,8.9,8.8,9.5,9.6,9.0,10.9,가솔린,2020,경차,BMW,153g/km
1082,9.1,9.6,8.8,9.0,8.8,9.0,9.3,93.7,"전기, 수소",2018,대형/프리미엄,현대,
1083,9.3,9.7,9.0,8.8,9.7,9.8,8.8,11.4,가솔린,2023,경차,BMW,149g/km
1084,8.7,9.4,7.9,8.8,8.6,8.7,8.6,5.3,전기,2023,대형/프리미엄,기아,
1085,8.9,9.4,7.0,9.3,9.0,9.5,9.1,16.7,가솔린,2022,경차,기아,96g/km
1092,9.2,9.8,8.9,8.8,9.5,9.6,9.0,12.4,가솔린,2022,경차,BMW,135g/km
1095,9.5,9.7,9.4,9.1,9.6,9.7,9.4,13.1,디젤,2014,경차,메르세데스-벤츠,151g/km
1097,8.9,9.4,8.4,8.4,9.2,9.8,8.1,9.9,가솔린,2023,경차,BMW,172g/km
